CatID	RA_06	DEC_06	round(B_06,8)	round(B_06_ERR,8)	round(V_06,8)	round(V_06_ERR,8)	round(R_06,8)	round(R_06_ERR,8)	round(I_MAG_AUTO_06,8)	AUTO_FLAG_06	round(I_06_ERR,8)	round(I_CFHT_06_ERR,8)	round(Z_06,8)	round(Z_06_ERR,8)	Z_BEST	round(RH,8)	round(LOGMASS_06,8)	Z_USE
6234192.00000000	150.18125916	2.25695801	22.67110062	0.02360000	22.48640060	0.01850000	22.45560074	0.01900000	22.12019920	1.00000000	0.01720000	0.04760000	22.25589943	0.02800000	0.00500000	2.65381408	8.55700016	4.00000000
6235495.00000000	150.19796753	2.20966411	23.28520012	0.03220000	22.87420082	0.02300000	22.72179985	0.02120000	20.27020073	1.00000000	0.01900000	0.04800000	22.21669960	0.02510000	0.00500000	-999.99999999	8.19400024	4.00000000
6235634.00000000	150.12872314	2.20892811	21.61630058	0.01420000	21.44939995	0.01120000	21.43280029	0.01120000	21.25620079	2.00000000	-999.98999023	0.02010000	21.23159981	0.01130000	0.00500000	2.51851606	8.87600040	4.00000000
6235770.00000000	150.13290405	2.20559192	22.15929985	0.01830000	22.01829910	0.01470000	22.00169945	0.01450000	21.88220024	2.00000000	-999.98999023	0.03410000	21.88010025	0.01660000	0.00500000	2.53120208	8.72299957	4.00000000
6236935.00000000	150.20591736	2.16705894	22.92169952	0.02640000	22.33629990	0.01720000	22.03630066	0.01480000	21.67469978	2.00000000	-999.98999023	0.03410000	21.48819923	0.01320000	0.00500000	2.27105594	7.38600016	4.00000000
6237119.00000000	150.16627502	2.16004992	21.03689957	0.01090000	20.76519966	0.00810000	20.77210045	0.00840000	20.46129990	2.00000000	-999.98999023	0.01170000	20.43460083	0.00740000	0.00500000	2.54528403	8.77400017	4.00000000
6237623.00000000	150.10487366	2.14672303	21.36450005	0.01270000	21.18449974	0.00990000	21.19020081	0.01000000	21.01230049	2.00000000	-999.98999023	0.01640000	20.97369957	0.01000000	0.00500000	2.29464698	8.53999996	4.00000000
6237708.00000000	150.19995117	2.14340711	21.58460045	0.01400000	21.40130043	0.01090000	21.39839935	0.01100000	21.22570038	2.00000000	-999.98999023	0.01970000	21.20459938	0.01160000	0.00500000	2.38911700	8.71899986	4.00000000
6263525.00000000	150.64190674	2.42938995	22.00300026	0.01700000	21.16659927	0.00980000	20.83340073	0.00850000	20.24239922	2.00000000	-999.98999023	0.01460000	20.08370018	0.00630000	0.00500000	2.65964103	8.32900047	4.00000000
6263864.00000000	150.67346191	2.42159796	21.33239937	0.01250000	20.83390045	0.00840000	20.72039986	0.00810000	20.30130005	2.00000000	-999.98999023	0.01510000	20.21610069	0.00670000	0.00500000	2.88578010	6.84399986	4.00000000
